GeneID,Cluster,entrez,symbol,chr,start,end,strand,biotype,description
ENSG00000196781,cluster1,7088,TLE1,9,81583683,81689547,-1,protein_coding,"TLE family member 1, transcriptional corepressor"
ENSG00000177283,cluster1,8325,FZD8,10,35638247,35642296,-1,protein_coding,frizzled class receptor 8
ENSG00000081803,cluster1,93664,CADPS2,7,122318411,122886759,-1,protein_coding,calcium dependent secretion activator 2
ENSG00000170561,cluster1,153572,IRX2,5,2745845,2751677,-1,protein_coding,iroquois homeobox 2
ENSG00000116774,cluster1,56944,OLFML3,1,113979391,114035572,1,protein_coding,olfactomedin like 3
ENSG00000176697,cluster1,627,BDNF,11,27654893,27722058,-1,protein_coding,brain derived neurotrophic factor
ENSG00000167614,cluster1,57348,TTYH1,19,54415219,54436904,1,protein_coding,tweety family member 1
ENSG00000145244,cluster1,10699,CORIN,4,47593999,47838106,-1,protein_coding,"corin, serine peptidase"
ENSG00000125816,cluster1,644524,NKX2-4,20,21395365,21397526,-1,protein_coding,NK2 homeobox 4
ENSG00000172183,cluster1,3669,ISG20,15,88635670,88656483,1,protein_coding,interferon stimulated exonuclease gene 20
ENSG00000163032,cluster1,7447,VSNL1,2,17539126,17657018,1,protein_coding,visinin like 1
ENSG00000203950,cluster1,26071,RTL8A,X,135050932,135052196,-1,protein_coding,retrotransposon Gag like 8A
ENSG00000158220,cluster1,83850,ESYT3,3,138434586,138481686,1,protein_coding,extended synaptotagmin 3
ENSG00000150051,cluster1,283078,MKX,10,27672874,27746060,-1,protein_coding,mohawk homeobox
ENSG00000140403,cluster1,55466,DNAJA4,15,78264086,78282196,1,protein_coding,DnaJ heat shock protein family (Hsp40) member A4
ENSG00000186462,cluster1,4674,NAP1L2,X,73212299,73214851,-1,protein_coding,nucleosome assembly protein 1 like 2
ENSG00000164430,cluster1,115004,CGAS,6,73413515,73452297,-1,protein_coding,cyclic GMP-AMP synthase
ENSG00000070159,cluster1,5774,PTPN3,9,109375466,109498313,-1,protein_coding,protein tyrosine phosphatase non-receptor type 3
ENSG00000127152,cluster1,64919,BCL11B,14,99169287,99272197,-1,protein_coding,BAF chromatin remodeling complex subunit BCL11B
ENSG00000080224,cluster1,285220,EPHA6,3,96814581,97761532,1,protein_coding,EPH receptor A6
ENSG00000134330,cluster1,285148,IAH1,2,9473658,9496543,1,protein_coding,isoamyl acetate hydrolyzing esterase 1 (putative)
ENSG00000163082,cluster1,130367,SGPP2,2,222424543,222562621,1,protein_coding,sphingosine-1-phosphate phosphatase 2
ENSG00000124160,cluster1,57727,NCOA5,20,46060991,46089962,-1,protein_coding,nuclear receptor coactivator 5
ENSG00000101605,cluster1,8736,MYOM1,18,3066807,3219968,-1,protein_coding,myomesin 1
ENSG00000119737,cluster1,10936,GPR75,2,53852912,53859967,-1,protein_coding,G protein-coupled receptor 75
ENSG00000027869,cluster1,9047,SH2D2A,1,156806243,156816848,-1,protein_coding,SH2 domain containing 2A
ENSG00000134256,cluster1,9398,CD101,1,117001750,117036552,1,protein_coding,CD101 molecule
ENSG00000146094,cluster1,79930,DOK3,5,177501904,177511274,-1,protein_coding,docking protein 3
ENSG00000129749,cluster1,57053,CHRNA10,11,3665587,3671384,-1,protein_coding,cholinergic receptor nicotinic alpha 10 subunit
ENSG00000184378,cluster1,84517,ACTRT3,3,169766921,169769561,-1,protein_coding,actin related protein T3
ENSG00000198354,cluster1,340578,DCAF12L2,X,126163499,126166289,-1,protein_coding,DDB1 and CUL4 associated factor 12 like 2
ENSG00000164362,cluster1,7015,TERT,5,1253147,1295068,-1,protein_coding,telomerase reverse transcriptase
ENSG00000242689,cluster1,1270,CNTF,11,58622665,58625733,1,protein_coding,ciliary neurotrophic factor
ENSG00000244165,cluster1,5032,P2RY11,19,10111693,10115372,1,protein_coding,purinergic receptor P2Y11
ENSG00000225614,cluster1,84627,ZNF469,16,88382959,88440757,1,protein_coding,zinc finger protein 469
ENSG00000147255,cluster1,3547,IGSF1,X,131273506,131578899,-1,protein_coding,immunoglobulin superfamily member 1
ENSG00000224420,cluster1,199800,ADM5,19,49689594,49690575,1,protein_coding,adrenomedullin 5 (putative)
ENSG00000213638,cluster1,113179,ADAT3,19,1905399,1913447,1,protein_coding,adenosine deaminase tRNA specific 3
ENSG00000144229,cluster1,80731,THSD7B,2,136765545,137677718,1,protein_coding,thrombospondin type 1 domain containing 7B
ENSG00000115361,cluster1,33,ACADL,2,210187126,210225447,-1,protein_coding,acyl-CoA dehydrogenase long chain
ENSG00000179869,cluster1,154664,ABCA13,7,48171458,48647497,1,protein_coding,ATP binding cassette subfamily A member 13
ENSG00000213988,cluster1,7643,ZNF90,19,20077994,20127076,1,protein_coding,zinc finger protein 90
ENSG00000178718,cluster1,54913,RPP25,15,74954418,74956772,-1,protein_coding,ribonuclease P and MRP subunit p25
ENSG00000107731,cluster1,219699,UNC5B,10,71212570,71302864,1,protein_coding,unc-5 netrin receptor B
ENSG00000152402,cluster1,2977,GUCY1A2,11,106674019,107018476,-1,protein_coding,guanylate cyclase 1 soluble subunit alpha 2
ENSG00000129646,cluster1,84074,QRICH2,17,76274049,76308276,-1,protein_coding,glutamine rich 2
ENSG00000175793,cluster1,2810,SFN,1,26863149,26864456,1,protein_coding,stratifin
ENSG00000140853,cluster1,84166,NLRC5,16,56989485,57083531,1,protein_coding,NLR family CARD domain containing 5
ENSG00000258947,cluster1,10381,TUBB3,16,89921392,89938761,1,protein_coding,tubulin beta 3 class III
ENSG00000136826,cluster1,9314,KLF4,9,107484852,107490482,-1,protein_coding,KLF transcription factor 4
ENSG00000272398,cluster1,100133941,CD24,6,106969831,106975627,-1,protein_coding,CD24 molecule
ENSG00000145864,cluster1,2561,GABRB2,5,161288429,161549044,-1,protein_coding,gamma-aminobutyric acid type A receptor subunit beta2
ENSG00000240184,cluster1,5098,PCDHGC3,5,141475947,141512977,1,protein_coding,"protocadherin gamma subfamily C, 3"
ENSG00000167646,cluster1,352909,DNAAF3,19,55158661,55166722,-1,protein_coding,dynein axonemal assembly factor 3
ENSG00000100906,cluster1,4792,NFKBIA,14,35401079,35404749,-1,protein_coding,NFKB inhibitor alpha
ENSG00000144868,cluster1,66000,TMEM108,3,133038391,133397775,1,protein_coding,transmembrane protein 108
ENSG00000113657,cluster1,1809,DPYSL3,5,147390808,147510068,-1,protein_coding,dihydropyrimidinase like 3
ENSG00000163377,cluster1,151647,TAFA4,3,68731766,68953297,-1,protein_coding,TAFA chemokine like family member 4
ENSG00000085552,cluster1,57549,IGSF9,1,159927039,159945613,-1,protein_coding,immunoglobulin superfamily member 9
ENSG00000118246,cluster1,22868,FASTKD2,2,206765357,206796189,1,protein_coding,FAST kinase domains 2
ENSG00000178522,cluster1,258,AMBN,4,70592256,70607288,1,protein_coding,ameloblastin
ENSG00000117148,cluster1,81569,ACTL8,1,17755333,17827063,1,protein_coding,actin like 8
ENSG00000160072,cluster1,83858,ATAD3B,1,1471765,1497848,1,protein_coding,ATPase family AAA domain containing 3B
ENSG00000162670,cluster1,339479,BRINP3,1,190097658,190478404,-1,protein_coding,BMP/retinoic acid inducible neural specific 3
ENSG00000121871,cluster1,22865,SLITRK3,3,165186720,165197109,-1,protein_coding,SLIT and NTRK like family member 3
ENSG00000188921,cluster1,401494,HACD4,9,20999509,21031640,-1,protein_coding,3-hydroxyacyl-CoA dehydratase 4
ENSG00000104899,cluster1,268,AMH,19,2249309,2252073,1,protein_coding,anti-Mullerian hormone
ENSG00000184343,cluster1,26576,SRPK3,X,153776412,153785732,1,protein_coding,SRSF protein kinase 3
ENSG00000212123,cluster1,163154,PRR22,19,5782960,5784746,-1,protein_coding,proline rich 22
ENSG00000090376,cluster1,11213,IRAK3,12,66189195,66254622,1,protein_coding,interleukin 1 receptor associated kinase 3
ENSG00000135116,cluster2,8739,HRK,12,116856144,116881441,-1,protein_coding,"harakiri, BCL2 interacting protein"
ENSG00000110195,cluster2,2348,FOLR1,11,72189558,72196323,1,protein_coding,folate receptor alpha
ENSG00000130203,cluster2,348,APOE,19,44905791,44909393,1,protein_coding,apolipoprotein E
ENSG00000070669,cluster2,440,ASNS,7,97851677,97872542,-1,protein_coding,asparagine synthetase (glutamine-hydrolyzing)
ENSG00000163689,cluster2,200844,CFAP20DC,3,58717365,59050084,-1,protein_coding,CFAP20 domain containing
ENSG00000120875,cluster2,1846,DUSP4,8,29333064,29350684,-1,protein_coding,dual specificity phosphatase 4
ENSG00000145824,cluster2,9547,CXCL14,5,135570679,135579279,-1,protein_coding,C-X-C motif chemokine ligand 14
ENSG00000115267,cluster2,64135,IFIH1,2,162267074,162318684,-1,protein_coding,interferon induced with helicase C domain 1
ENSG00000091490,cluster2,23231,SEL1L3,4,25747433,25863760,-1,protein_coding,SEL1L family member 3
ENSG00000265763,cluster2,118738,ZNF488,10,47365496,47384293,-1,protein_coding,zinc finger protein 488
ENSG00000144642,cluster2,27303,RBMS3,3,28574791,30010391,1,protein_coding,RNA binding motif single stranded interacting protein 3
ENSG00000155367,cluster2,333926,PPM1J,1,112709994,112715332,-1,protein_coding,"protein phosphatase, Mg2+/Mn2+ dependent 1J"
ENSG00000105974,cluster2,857,CAV1,7,116524994,116561179,1,protein_coding,caveolin 1
ENSG00000078018,cluster2,4133,MAP2,2,209424047,209734147,1,protein_coding,microtubule associated protein 2
ENSG00000135842,cluster2,116496,NIBAN1,1,184790724,184974508,-1,protein_coding,niban apoptosis regulator 1
ENSG00000171502,cluster2,255631,COL24A1,1,85729233,86156943,-1,protein_coding,collagen type XXIV alpha 1 chain
ENSG00000143382,cluster2,54507,ADAMTSL4,1,150549369,150560937,1,protein_coding,ADAMTS like 4
ENSG00000243244,cluster2,11037,STON1,2,48529383,48598513,1,protein_coding,stonin 1
ENSG00000087494,cluster2,5744,PTHLH,12,27958084,27972733,-1,protein_coding,parathyroid hormone like hormone
ENSG00000196220,cluster2,9901,SRGAP3,3,8980591,9363053,-1,protein_coding,SLIT-ROBO Rho GTPase activating protein 3
ENSG00000164741,cluster2,10395,DLC1,8,13083361,13604610,-1,protein_coding,DLC1 Rho GTPase activating protein
ENSG00000107518,cluster2,26033,ATRNL1,10,115093365,115948999,1,protein_coding,attractin like 1
ENSG00000152580,cluster2,285313,IGSF10,3,151425384,151461061,-1,protein_coding,immunoglobulin superfamily member 10
ENSG00000183196,cluster2,4166,CHST6,16,75472052,75495445,-1,protein_coding,carbohydrate sulfotransferase 6
ENSG00000064042,cluster2,22998,LIMCH1,4,41359607,41700044,1,protein_coding,LIM and calponin homology domains 1
ENSG00000144278,cluster2,114805,GALNT13,2,153871922,154453979,1,protein_coding,polypeptide N-acetylgalactosaminyltransferase 13
ENSG00000157510,cluster2,134265,AFAP1L1,5,149271859,149343637,1,protein_coding,actin filament associated protein 1 like 1
ENSG00000151892,cluster2,2674,GFRA1,10,116056925,116276803,-1,protein_coding,GDNF family receptor alpha 1
ENSG00000166265,cluster2,116159,CYYR1,21,26466209,26573286,-1,protein_coding,cysteine and tyrosine rich 1
ENSG00000135063,cluster2,9413,ENTREP1,9,69324567,69392558,1,protein_coding,endosomal transmembrane epsin interactor 1
ENSG00000163618,cluster2,8618,CADPS,3,62398346,62875416,-1,protein_coding,calcium dependent secretion activator
ENSG00000095637,cluster2,10580,SORBS1,10,95311771,95561414,-1,protein_coding,sorbin and SH3 domain containing 1
ENSG00000157168,cluster2,3084,NRG1,8,31639222,32855666,1,protein_coding,neuregulin 1
ENSG00000111817,cluster2,29940,DSE,6,116254173,116444861,1,protein_coding,dermatan sulfate epimerase
ENSG00000076641,cluster2,55824,PAG1,8,80967810,81112068,-1,protein_coding,phosphoprotein membrane anchor with glycosphingolipid microdomains 1
ENSG00000021300,cluster2,58473,PLEKHB1,11,73646178,73662819,1,protein_coding,pleckstrin homology domain containing B1
ENSG00000178662,cluster2,80034,CSRNP3,2,165469647,165689407,1,protein_coding,cysteine and serine rich nuclear protein 3
ENSG00000106415,cluster2,113263,GLCCI1,7,7968796,8094272,1,protein_coding,glucocorticoid induced 1
ENSG00000135362,cluster2,79899,PRR5L,11,36296288,36465204,1,protein_coding,proline rich 5 like
ENSG00000196208,cluster2,9687,GREB1,2,11482341,11642788,1,protein_coding,growth regulating estrogen receptor binding 1
ENSG00000064300,cluster2,4804,NGFR,17,49495293,49515008,1,protein_coding,nerve growth factor receptor
ENSG00000061455,cluster2,93166,PRDM6,5,123089241,123194266,1,protein_coding,PR/SET domain 6
ENSG00000175879,cluster2,3234,HOXD8,2,176129694,176132695,1,protein_coding,homeobox D8
ENSG00000116285,cluster2,54206,ERRFI1,1,8004404,8026309,-1,protein_coding,ERBB receptor feedback inhibitor 1
ENSG00000162409,cluster2,5563,PRKAA2,1,56645314,56715335,1,protein_coding,protein kinase AMP-activated catalytic subunit alpha 2
ENSG00000141404,cluster2,2774,GNAL,18,11689264,11885685,1,protein_coding,G protein subunit alpha L
ENSG00000162407,cluster2,8613,PLPP3,1,56494761,56645301,-1,protein_coding,phospholipid phosphatase 3
ENSG00000197872,cluster2,81553,CYRIA,2,16549459,16666331,-1,protein_coding,CYFIP related Rac1 interactor A
ENSG00000121236,cluster2,117854,TRIM6,11,5596109,5612958,1,protein_coding,tripartite motif containing 6
ENSG00000109424,cluster2,7350,UCP1,4,140559431,140568961,-1,protein_coding,uncoupling protein 1
ENSG00000168779,cluster2,6474,SHOX2,3,158095905,158106420,-1,protein_coding,short stature homeobox 2
ENSG00000115232,cluster2,3676,ITGA4,2,181457202,181538940,1,protein_coding,integrin subunit alpha 4
ENSG00000120885,cluster2,1191,CLU,8,27596917,27614700,-1,protein_coding,clusterin
ENSG00000110148,cluster2,887,CCKBR,11,6259806,6272127,1,protein_coding,cholecystokinin B receptor
ENSG00000164683,cluster2,23462,HEY1,8,79762371,79767857,-1,protein_coding,hes related family bHLH transcription factor with YRPW motif 1
ENSG00000070778,cluster2,11099,PTPN21,14,88465778,88555007,-1,protein_coding,protein tyrosine phosphatase non-receptor type 21
ENSG00000113361,cluster2,1004,CDH6,5,31193686,31329146,1,protein_coding,cadherin 6
ENSG00000250305,cluster2,57604,TRMT9B,8,12945642,13031503,1,protein_coding,tRNA methyltransferase 9B (putative)
ENSG00000132535,cluster2,1742,DLG4,17,7187187,7219841,-1,protein_coding,discs large MAGUK scaffold protein 4
ENSG00000169439,cluster2,6383,SDC2,8,96493813,96611790,1,protein_coding,syndecan 2
ENSG00000180720,cluster2,1132,CHRM4,11,46383789,46391776,-1,protein_coding,cholinergic receptor muscarinic 4
ENSG00000197321,cluster2,6840,SVIL,10,29457338,29736959,-1,protein_coding,supervillin
ENSG00000132429,cluster2,64208,POPDC3,6,105157900,105180014,-1,protein_coding,popeye domain containing 3
ENSG00000187634,cluster2,148398,SAMD11,1,923923,944575,1,protein_coding,sterile alpha motif domain containing 11
ENSG00000174498,cluster2,9543,IGDCC3,15,65327127,65378002,-1,protein_coding,immunoglobulin superfamily DCC subclass member 3
ENSG00000148600,cluster2,92211,CDHR1,10,84194537,84219621,1,protein_coding,cadherin related family member 1
ENSG00000162757,cluster2,148304,C1orf74,1,209779208,209784559,-1,protein_coding,chromosome 1 open reading frame 74
ENSG00000139832,cluster2,55647,RAB20,13,110523066,110561722,-1,protein_coding,"RAB20, member RAS oncogene family"
ENSG00000154265,cluster2,23461,ABCA5,17,69244311,69327244,-1,protein_coding,ATP binding cassette subfamily A member 5
ENSG00000131370,cluster2,9467,SH3BP5,3,15254353,15341368,-1,protein_coding,SH3 domain binding protein 5
ENSG00000174939,cluster2,253982,ASPHD1,16,29900375,29919864,1,protein_coding,aspartate beta-hydroxylase domain containing 1
ENSG00000140450,cluster2,91947,ARRDC4,15,97960703,97973833,1,protein_coding,arrestin domain containing 4
ENSG00000127920,cluster2,2791,GNG11,7,93921735,93928610,1,protein_coding,G protein subunit gamma 11
ENSG00000091136,cluster2,3912,LAMB1,7,107923799,108003213,-1,protein_coding,laminin subunit beta 1
ENSG00000013619,cluster2,10046,MAMLD1,X,150361422,150514178,1,protein_coding,mastermind like domain containing 1
ENSG00000165194,cluster2,57526,PCDH19,X,100291644,100410273,-1,protein_coding,protocadherin 19
ENSG00000018236,cluster2,1272,CNTN1,12,40692439,41072415,1,protein_coding,contactin 1
ENSG00000196104,cluster2,50859,SPOCK3,4,166733384,167234796,-1,protein_coding,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3"
ENSG00000186399,cluster2,101059918,GOLGA8R,15,30400562,30414260,-1,protein_coding,golgin A8 family member R
ENSG00000184489,cluster2,11156,PTP4A3,8,141391995,141432454,1,protein_coding,protein tyrosine phosphatase 4A3
ENSG00000162733,cluster2,4921,DDR2,1,162631373,162787405,1,protein_coding,discoidin domain receptor tyrosine kinase 2
ENSG00000153291,cluster2,9481,SLC25A27,6,46652915,46678190,1,protein_coding,solute carrier family 25 member 27
ENSG00000121361,cluster2,3764,KCNJ8,12,21764955,21775600,-1,protein_coding,potassium inwardly rectifying channel subfamily J member 8
ENSG00000112182,cluster2,60468,BACH2,6,89926528,90296843,-1,protein_coding,BTB domain and CNC homolog 2
ENSG00000214944,cluster2,64283,ARHGEF28,5,73626158,73941993,1,protein_coding,Rho guanine nucleotide exchange factor 28
ENSG00000154856,cluster2,147495,APCDD1,18,10454635,10489949,1,protein_coding,APC down-regulated 1
ENSG00000203727,cluster2,389432,SAMD5,6,147508690,147737547,1,protein_coding,sterile alpha motif domain containing 5
ENSG00000169860,cluster2,5028,P2RY1,3,152835131,152841439,1,protein_coding,purinergic receptor P2Y1
ENSG00000176928,cluster2,51301,GCNT4,5,75025346,75052558,-1,protein_coding,glucosaminyl (N-acetyl) transferase 4
ENSG00000087266,cluster2,6452,SH3BP2,4,2793071,2841098,1,protein_coding,SH3 domain binding protein 2
ENSG00000178568,cluster2,2066,ERBB4,2,211375717,212538841,-1,protein_coding,erb-b2 receptor tyrosine kinase 4
ENSG00000152527,cluster2,130271,PLEKHH2,2,43637260,43767987,1,protein_coding,"pleckstrin homology, MyTH4 and FERM domain containing H2"
ENSG00000106484,cluster2,4232,MEST,7,130486171,130506465,1,protein_coding,mesoderm specific transcript
ENSG00000135540,cluster2,57224,NHSL1,6,138422043,138692571,-1,protein_coding,NHS like 1
ENSG00000172733,cluster2,29942,PURG,8,30995802,31033715,-1,protein_coding,purine rich element binding protein G
ENSG00000115468,cluster2,80303,EFHD1,2,232606057,232682776,1,protein_coding,EF-hand domain family member D1
ENSG00000171766,cluster2,2628,GATM,15,45361124,45402327,-1,protein_coding,glycine amidinotransferase
ENSG00000164099,cluster2,8492,PRSS12,4,118280038,118353003,-1,protein_coding,serine protease 12
ENSG00000103490,cluster2,29108,PYCARD,16,31201486,31203450,-1,protein_coding,PYD and CARD domain containing
ENSG00000122861,cluster2,5328,PLAU,10,73909177,73917496,1,protein_coding,"plasminogen activator, urokinase"
ENSG00000169851,cluster2,5099,PCDH7,4,30720369,31146805,1,protein_coding,protocadherin 7
ENSG00000007866,cluster2,7005,TEAD3,6,35473597,35497079,-1,protein_coding,TEA domain transcription factor 3
ENSG00000154917,cluster2,51560,RAB6B,3,133824235,133895882,-1,protein_coding,"RAB6B, member RAS oncogene family"
ENSG00000118432,cluster2,1268,CNR1,6,88139864,88166347,-1,protein_coding,cannabinoid receptor 1
ENSG00000175352,cluster2,56675,NRIP3,11,8965682,9005288,-1,protein_coding,nuclear receptor interacting protein 3
ENSG00000115902,cluster2,6509,SLC1A4,2,64988477,65023865,1,protein_coding,solute carrier family 1 member 4
ENSG00000183044,cluster2,18,ABAT,16,8674596,8784575,1,protein_coding,4-aminobutyrate aminotransferase
ENSG00000188042,cluster2,10123,ARL4C,2,234493041,234497081,-1,protein_coding,ADP ribosylation factor like GTPase 4C
ENSG00000269113,cluster2,388630,TRABD2B,1,47760528,47997385,-1,protein_coding,TraB domain containing 2B
ENSG00000213626,cluster2,81606,LBH,2,30231534,30323730,1,protein_coding,LBH regulator of WNT signaling pathway
ENSG00000116852,cluster2,23046,KIF21B,1,200969390,201023714,-1,protein_coding,kinesin family member 21B
ENSG00000124920,cluster2,745,MYRF,11,61752636,61788518,1,protein_coding,myelin regulatory factor
ENSG00000111224,cluster2,57097,PARP11,12,3791047,3873448,-1,protein_coding,poly(ADP-ribose) polymerase family member 11
ENSG00000136404,cluster2,53346,TM6SF1,15,83107572,83144854,1,protein_coding,transmembrane 6 superfamily member 1
ENSG00000203867,cluster2,282996,RBM20,10,110644336,110839468,1,protein_coding,RNA binding motif protein 20
ENSG00000203685,cluster2,375057,STUM,1,226548764,226609230,1,protein_coding,"stum, mechanosensory transduction mediator homolog"
ENSG00000119630,cluster2,5228,PGF,14,74941834,74955626,-1,protein_coding,placental growth factor
ENSG00000101004,cluster2,22981,NINL,20,25451594,25585531,-1,protein_coding,ninein like
ENSG00000142871,cluster2,3491,CCN1,1,85580761,85584589,1,protein_coding,cellular communication network factor 1
ENSG00000145431,cluster2,56034,PDGFC,4,156760454,156971799,-1,protein_coding,platelet derived growth factor C
ENSG00000166831,cluster2,348093,RBPMS2,15,64739891,64775589,-1,protein_coding,"RNA binding protein, mRNA processing factor 2"
ENSG00000140044,cluster2,122953,JDP2,14,75427716,75474111,1,protein_coding,Jun dimerization protein 2
ENSG00000072609,cluster2,55743,CHFR,12,132822187,132956304,-1,protein_coding,checkpoint with forkhead and ring finger domains
ENSG00000128564,cluster2,7425,VGF,7,101162509,101165569,-1,protein_coding,VGF nerve growth factor inducible
ENSG00000109790,cluster2,51088,KLHL5,4,39045039,39126857,1,protein_coding,kelch like family member 5
ENSG00000101000,cluster2,10544,PROCR,20,35172072,35216240,1,protein_coding,protein C receptor
ENSG00000156587,cluster2,9246,UBE2L6,11,57551656,57568284,-1,protein_coding,ubiquitin conjugating enzyme E2 L6
ENSG00000154930,cluster2,84532,ACSS1,20,25006230,25058980,-1,protein_coding,acyl-CoA synthetase short chain family member 1
ENSG00000204381,cluster2,143903,LAYN,11,111540280,111561745,1,protein_coding,layilin
ENSG00000104324,cluster2,10404,CPQ,8,96645242,97149654,1,protein_coding,carboxypeptidase Q
ENSG00000180801,cluster2,79642,ARSJ,4,113900284,113979727,-1,protein_coding,arylsulfatase family member J
ENSG00000104369,cluster2,56704,JPH1,8,74234700,74321540,-1,protein_coding,junctophilin 1
ENSG00000078114,cluster2,10529,NEBL,10,20779973,21293011,-1,protein_coding,nebulette
ENSG00000112276,cluster2,11149,BVES,6,105096822,105137157,-1,protein_coding,blood vessel epicardial substance
ENSG00000163191,cluster2,6282,S100A11,1,152032506,152047907,-1,protein_coding,S100 calcium binding protein A11
ENSG00000104313,cluster2,2138,EYA1,8,71197433,71592025,-1,protein_coding,EYA transcriptional coactivator and phosphatase 1
ENSG00000170153,cluster2,57484,RNF150,4,140859807,141212877,-1,protein_coding,ring finger protein 150
ENSG00000177181,cluster2,284716,RIMKLA,1,42380792,42424232,1,protein_coding,ribosomal modification protein rimK like family member A
ENSG00000050165,cluster2,27122,DKK3,11,11956207,12009769,-1,protein_coding,dickkopf WNT signaling pathway inhibitor 3
ENSG00000132561,cluster2,4147,MATN2,8,97868840,98036724,1,protein_coding,matrilin 2
ENSG00000178026,cluster2,388886,LRRC75B,22,24585620,24593208,-1,protein_coding,leucine rich repeat containing 75B
ENSG00000214336,cluster2,344167,FOXI3,2,88446787,88452693,-1,protein_coding,forkhead box I3
ENSG00000109738,cluster2,2743,GLRB,4,157076125,157172090,1,protein_coding,glycine receptor beta
ENSG00000145743,cluster2,64839,FBXL17,5,107859035,108382098,-1,protein_coding,F-box and leucine rich repeat protein 17
ENSG00000205309,cluster2,56953,NT5M,17,17303335,17347663,1,protein_coding,"5',3'-nucleotidase, mitochondrial"
ENSG00000010361,cluster2,80199,FUZ,19,49806866,49817376,-1,protein_coding,fuzzy planar cell polarity protein
ENSG00000178403,cluster2,63973,NEUROG2,4,112513516,112516180,-1,protein_coding,neurogenin 2
ENSG00000114646,cluster2,10675,CSPG5,3,47562238,47580792,-1,protein_coding,chondroitin sulfate proteoglycan 5
ENSG00000243232,cluster2,56134,PCDHAC2,5,140966470,141012347,1,protein_coding,"protocadherin alpha subfamily C, 2"
ENSG00000179331,cluster2,54734,RAB39A,11,107928448,107963482,1,protein_coding,"RAB39A, member RAS oncogene family"
ENSG00000113083,cluster2,4015,LOX,5,122063195,122078413,-1,protein_coding,lysyl oxidase
ENSG00000148541,cluster2,220965,FAM13C,10,59246130,59363181,-1,protein_coding,family with sequence similarity 13 member C
ENSG00000206538,cluster2,389136,VGLL3,3,86876388,86991149,-1,protein_coding,vestigial like family member 3
ENSG00000170500,cluster2,164832,LONRF2,2,100271875,100322501,-1,protein_coding,LON peptidase N-terminal domain and ring finger 2
ENSG00000214575,cluster2,64506,CPEB1,15,82543201,82648861,-1,protein_coding,cytoplasmic polyadenylation element binding protein 1
ENSG00000104419,cluster2,10397,NDRG1,8,133237175,133302022,-1,protein_coding,N-myc downstream regulated 1
ENSG00000164398,cluster2,23305,ACSL6,5,131949973,132012243,-1,protein_coding,acyl-CoA synthetase long chain family member 6
ENSG00000125355,cluster2,55026,TMEM255A,X,120258650,120311556,-1,protein_coding,transmembrane protein 255A
ENSG00000134013,cluster2,4017,LOXL2,8,23296897,23425328,-1,protein_coding,lysyl oxidase like 2
ENSG00000126016,cluster2,154796,AMOT,X,112774503,112840831,-1,protein_coding,angiomotin
ENSG00000157514,cluster2,1831,TSC22D3,X,107713221,107777342,-1,protein_coding,TSC22 domain family member 3
ENSG00000253304,cluster2,399474,TMEM200B,1,29119429,29123903,-1,protein_coding,transmembrane protein 200B
ENSG00000154330,cluster2,5239,PGM5,9,68328308,68531061,1,protein_coding,phosphoglucomutase 5
ENSG00000168004,cluster2,117245,PLAAT5,11,63461404,63491194,-1,protein_coding,phospholipase A and acyltransferase 5
ENSG00000105928,cluster2,1687,GSDME,7,24698355,24757940,-1,protein_coding,gasdermin E
ENSG00000151474,cluster2,55691,FRMD4A,10,13643706,14462142,-1,protein_coding,FERM domain containing 4A
ENSG00000136859,cluster2,23452,ANGPTL2,9,127087348,127122635,-1,protein_coding,angiopoietin like 2
ENSG00000101445,cluster2,26051,PPP1R16B,20,38805697,38923024,1,protein_coding,protein phosphatase 1 regulatory subunit 16B
ENSG00000104368,cluster2,5327,PLAT,8,42174718,42207709,-1,protein_coding,"plasminogen activator, tissue type"
ENSG00000139597,cluster2,90634,N4BP2L1,13,32400723,32428311,-1,protein_coding,NEDD4 binding protein 2 like 1
ENSG00000130052,cluster2,9754,STARD8,X,68647666,68725842,1,protein_coding,StAR related lipid transfer domain containing 8
ENSG00000108387,cluster2,5414,SEPTIN4,17,58520250,58544368,-1,protein_coding,septin 4
ENSG00000128656,cluster2,1123,CHN1,2,174798809,175005381,-1,protein_coding,chimerin 1
ENSG00000122756,cluster2,1271,CNTFR,9,34551432,34590140,-1,protein_coding,ciliary neurotrophic factor receptor
ENSG00000105971,cluster2,858,CAV2,7,116287380,116508541,1,protein_coding,caveolin 2
ENSG00000028137,cluster2,7133,TNFRSF1B,1,12166991,12209228,1,protein_coding,TNF receptor superfamily member 1B
ENSG00000104213,cluster2,5157,PDGFRL,8,17576433,17644071,1,protein_coding,platelet derived growth factor receptor like
ENSG00000171608,cluster2,5293,PIK3CD,1,9629889,9729114,1,protein_coding,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
ENSG00000170915,cluster2,85315,PAQR8,6,52361421,52407777,1,protein_coding,progestin and adipoQ receptor family member 8
ENSG00000137198,cluster2,2766,GMPR,6,16238587,16295549,1,protein_coding,guanosine monophosphate reductase
ENSG00000106025,cluster2,23554,TSPAN12,7,120787320,120858402,-1,protein_coding,tetraspanin 12
ENSG00000144218,cluster2,3899,AFF3,2,99545419,100192428,-1,protein_coding,ALF transcription elongation factor 3
